Cell IdX,Cell IdY,Cell IdZ,Voxel IdX,Voxel IdY,Voxel IdZ,X [mm],Y [mm],Z [mm],Dose [Gy],FieldScalingFactor
0,0,1,3,7,9,-19.5,-15.5,-7.5,0,0.113412
2,2,0,9,0,3,10.5,1.5,-25.5,0,0.816158
1,3,0,2,7,5,-8.5,20.5,-23.5,0,0.67469
1,3,1,6,6,9,-4.5,19.5,-7.5,0,0.0555128
3,3,0,8,2,7,21.5,15.5,-21.5,0,0.59129
2,1,1,7,0,9,8.5,-10.5,-7.5,7.09749e-09,0.124352
1,2,1,2,9,4,-8.5,10.5,-12.5,1.6705e-06,0.273197
0,0,1,3,9,4,-19.5,-13.5,-12.5,0,0.304043
0,3,1,2,2,4,-20.5,15.5,-12.5,0,0.239247
3,0,1,0,2,2,13.5,-20.5,-14.5,7.14077e-08,0.397697
2,0,1,1,6,9,2.5,-16.5,-7.5,1.7747e-06,0.133316
1,2,0,7,7,9,-3.5,8.5,-19.5,1.09801e-06,0.558281
1,0,0,8,6,9,-2.5,-16.5,-19.5,1.19708e-06,0.604579
3,3,1,7,3,1,20.5,16.5,-15.5,0,0.35225
0,1,1,5,6,1,-17.5,-4.5,-15.5,1.10084e-07,0.413413
1,2,0,0,4,8,-10.5,5.5,-20.5,1.30939e-06,0.601519
2,0,1,6,0,4,7.5,-22.5,-12.5,0,0.326489
3,3,0,4,2,9,17.5,15.5,-19.5,3.38685e-08,0.519733
2,3,0,9,3,6,10.5,16.5,-22.5,1.10593e-06,0.647493
0,0,1,3,1,4,-19.5,-21.5,-12.5,0,0.309046
2,0,1,3,0,1,4.5,-22.5,-15.5,0,0.44651
3,0,1,9,8,8,22.5,-14.5,-8.5,0,0.144344
3,3,0,8,0,5,21.5,13.5,-23.5,0,0.67914
3,2,1,6,1,2,19.5,2.5,-14.5,0,0.356026
2,0,1,2,9,2,3.5,-13.5,-14.5,1.30682e-07,0.402011
1,3,0,9,9,8,-1.5,22.5,-20.5,0,0.549433
3,2,1,4,2,9,17.5,3.5,-7.5,0,0.0881058
1,3,1,9,8,7,-1.5,21.5,-9.5,0,0.124685
2,1,0,6,3,6,7.5,-7.5,-22.5,0,0.713517
3,2,1,5,1,6,18.5,2.5,-10.5,0,0.202929
0,3,0,5,1,1,-17.5,14.5,-27.5,0,0.848665
3,2,0,6,0,2,19.5,1.5,-26.5,0,0.84219
2,3,0,4,9,9,5.5,22.5,-19.5,2.30365e-08,0.508017
0,2,0,1,6,5,-21.5,7.5,-23.5,0,0.698021
1,0,0,0,5,2,-10.5,-17.5,-26.5,0,0.88724
2,3,1,9,2,3,10.5,15.5,-13.5,0,0.294163
0,2,0,1,6,2,-21.5,7.5,-26.5,0,0.821264
2,0,1,0,3,5,1.5,-19.5,-11.5,8.13021e-07,0.289327
3,2,1,3,1,3,16.5,2.5,-13.5,0,0.322669
1,2,1,1,7,0,-9.5,8.5,-16.5,8.1491e-07,0.434562
2,1,1,4,3,5,5.5,-7.5,-11.5,0,0.276367
2,1,0,2,3,0,3.5,-7.5,-28.5,0,0.965443
3,1,1,0,5,8,13.5,-5.5,-8.5,0,0.149957
3,2,1,0,2,6,13.5,3.5,-10.5,0,0.208894
1,3,1,1,6,6,-9.5,19.5,-10.5,1.81505e-07,0.165653
2,1,1,0,2,9,1.5,-8.5,-7.5,7.03596e-08,0.125396
2,1,1,8,7,2,9.5,-3.5,-14.5,0,0.383856
3,0,0,0,3,5,13.5,-19.5,-23.5,0,0.759862
2,2,1,6,9,8,7.5,10.5,-8.5,6.38219e-08,0.1206
3,3,1,4,4,6,17.5,17.5,-10.5,4.06181e-07,0.16173
2,0,0,7,6,3,8.5,-16.5,-25.5,6.23269e-07,0.847033
0,3,0,0,9,8,-22.5,22.5,-20.5,0,0.521888
3,3,1,6,0,6,19.5,13.5,-10.5,0,0.171186
3,3,0,9,7,3,22.5,20.5,-25.5,0,0.73191
2,0,0,8,4,8,9.5,-18.5,-20.5,1.4132e-06,0.641795
2,2,1,3,7,2,4.5,8.5,-14.5,0,0.359645
2,3,1,3,2,7,4.5,15.5,-9.5,1.26709e-06,0.145024
0,3,0,2,8,5,-20.5,21.5,-23.5,0,0.651195
2,3,1,4,3,2,5.5,16.5,-14.5,1.09185e-06,0.333825
3,3,0,1,8,0,14.5,21.5,-28.5,0,0.868198
3,1,0,0,4,5,13.5,-6.5,-23.5,0,0.745834
1,0,0,1,4,8,-9.5,-18.5,-20.5,0,0.641741
3,3,0,3,4,8,16.5,17.5,-20.5,4.84035e-07,0.554326
0,1,0,8,2,0,-14.5,-8.5,-28.5,7.07721e-08,0.955392
2,0,0,2,4,1,3.5,-18.5,-27.5,7.50854e-07,0.935565
1,2,0,0,5,7,-10.5,6.5,-21.5,1.08726e-06,0.639225
3,0,1,9,9,9,22.5,-13.5,-7.5,0,0.105395
1,3,1,1,6,9,-9.5,19.5,-7.5,0,0.0519761
2,2,1,1,7,6,2.5,8.5,-10.5,0,0.205215
1,3,0,0,9,1,-10.5,22.5,-27.5,0,0.828124
1,1,0,8,0,4,-2.5,-10.5,-24.5,6.63275e-07,0.802992
0,0,1,8,6,4,-14.5,-16.5,-12.5,0,0.315527
1,1,0,0,5,5,-10.5,-5.5,-23.5,1.30357e-06,0.748134
2,3,0,0,7,9,1.5,20.5,-19.5,2.57811e-07,0.517593
1,3,1,7,8,2,-3.5,21.5,-14.5,0,0.316268
2,3,0,6,4,9,7.5,17.5,-19.5,1.01869e-06,0.526125
1,2,0,8,7,1,-2.5,8.5,-27.5,5.26343e-07,0.886054
1,0,1,8,8,9,-2.5,-14.5,-7.5,1.03947e-06,0.13176
0,1,0,6,4,5,-16.5,-6.5,-23.5,5.88613e-08,0.740667
3,1,1,0,5,5,13.5,-5.5,-11.5,0,0.265354
0,2,1,7,3,0,-15.5,4.5,-16.5,1.22262e-06,0.437262
1,3,1,6,0,1,-4.5,13.5,-15.5,1.24839e-06,0.383598
2,2,0,9,2,5,10.5,3.5,-23.5,0,0.728793
3,0,0,4,9,1,17.5,-13.5,-27.5,0,0.914333
2,1,0,5,4,1,6.5,-6.5,-27.5,0,0.91995
0,0,1,4,6,2,-18.5,-16.5,-14.5,0,0.386853
3,1,1,8,9,1,21.5,-1.5,-15.5,0,0.399547
1,2,0,4,9,2,-6.5,10.5,-26.5,5.78692e-07,0.836041
0,1,0,2,8,6,-20.5,-2.5,-22.5,0,0.684102
2,3,0,0,0,7,1.5,13.5,-21.5,1.06147e-06,0.623603
0,3,0,8,4,0,-14.5,17.5,-28.5,0,0.884494
0,2,1,0,3,6,-22.5,4.5,-10.5,1.94618e-08,0.18968
0,3,1,5,9,3,-17.5,22.5,-13.5,0,0.258185
3,0,0,9,1,7,22.5,-21.5,-21.5,0,0.660595
2,1,0,5,2,9,6.5,-8.5,-19.5,2.44949e-07,0.593837
0,2,1,5,8,0,-17.5,9.5,-16.5,7.26693e-07,0.420052
2,2,0,7,6,9,8.5,7.5,-19.5,0,0.5579
1,1,0,0,4,0,-10.5,-6.5,-28.5,2.55521e-07,0.957998
0,0,0,3,6,5,-19.5,-16.5,-23.5,0,0.74666
0,3,1,3,0,5,-19.5,13.5,-11.5,0,0.209399
0,2,0,0,9,3,-22.5,10.5,-25.5,0,0.76827
1,3,0,0,9,8,-10.5,22.5,-20.5,0,0.543513
2,0,1,8,7,8,9.5,-15.5,-8.5,0,0.166507
3,1,1,5,5,5,18.5,-5.5,-11.5,0,0.257003
3,3,0,1,2,4,14.5,15.5,-24.5,0,0.726978
1,1,1,6,8,0,-4.5,-2.5,-16.5,4.388e-07,0.464738
0,1,0,6,8,3,-16.5,-2.5,-25.5,8.28707e-07,0.815739
0,2,1,8,4,4,-14.5,5.5,-12.5,1.04423e-06,0.279704
3,2,0,7,8,2,20.5,9.5,-26.5,0,0.817668
1,3,0,7,0,2,-3.5,13.5,-26.5,1.04227e-06,0.82764
0,3,1,4,5,3,-18.5,18.5,-13.5,0,0.271443
0,1,0,4,2,8,-18.5,-8.5,-20.5,3.05268e-07,0.61759
3,3,0,9,2,2,22.5,15.5,-26.5,0,0.792338
2,0,1,4,0,6,5.5,-22.5,-10.5,1.09839e-07,0.250066
3,2,0,8,8,9,21.5,9.5,-19.5,0,0.530767
2,3,1,1,3,7,2.5,16.5,-9.5,9.88347e-07,0.142394
0,3,1,6,2,7,-16.5,15.5,-9.5,0,0.132097
0,3,0,9,3,4,-13.5,16.5,-24.5,0,0.724816
2,1,1,7,7,9,8.5,-3.5,-7.5,0,0.114136
3,0,1,9,8,1,22.5,-14.5,-15.5,0,0.415974
1,0,1,7,2,2,-3.5,-20.5,-14.5,1.56056e-07,0.406754
2,2,0,2,8,3,3.5,9.5,-25.5,0,0.799567
2,3,0,7,7,5,8.5,20.5,-23.5,3.37711e-07,0.674724
2,1,0,9,7,0,10.5,-3.5,-28.5,0,0.95248
2,2,0,5,0,6,6.5,1.5,-22.5,0,0.696616
1,1,1,0,0,6,-10.5,-10.5,-10.5,8.36096e-07,0.23741
3,1,0,8,3,9,21.5,-7.5,-19.5,0,0.569253
0,0,0,5,0,0,-17.5,-22.5,-28.5,0,0.962105
1,1,1,0,6,8,-10.5,-4.5,-8.5,1.23899e-06,0.151964
0,2,1,3,5,4,-19.5,6.5,-12.5,1.04303e-06,0.268216
0,3,1,5,2,0,-17.5,15.5,-16.5,0,0.400889
1,3,1,0,1,9,-10.5,14.5,-7.5,1.97472e-07,0.067841
1,3,1,5,6,0,-5.5,19.5,-16.5,1.65538e-07,0.401186
0,3,1,0,3,0,-22.5,16.5,-16.5,2.1654e-07,0.386725
3,0,0,3,6,9,16.5,-16.5,-19.5,0,0.589933
2,1,0,7,8,8,8.5,-2.5,-20.5,0,0.62232
1,1,0,2,0,2,-8.5,-10.5,-26.5,7.66884e-07,0.882373
2,2,1,0,3,4,1.5,4.5,-12.5,0,0.293148
2,3,1,7,6,6,8.5,19.5,-10.5,7.53038e-07,0.166611
3,0,0,0,3,6,13.5,-19.5,-22.5,0,0.718779
1,2,1,6,2,6,-4.5,3.5,-10.5,3.12269e-07,0.217246
3,3,1,6,0,3,19.5,13.5,-13.5,5.40462e-08,0.286619
2,0,1,7,1,1,8.5,-21.5,-15.5,3.21856e-07,0.44346
0,0,1,1,1,4,-21.5,-21.5,-12.5,0,0.304715
0,2,1,8,8,5,-14.5,9.5,-11.5,9.6236e-07,0.230271
1,3,0,2,4,3,-8.5,17.5,-25.5,2.06027e-08,0.768251
3,3,0,8,7,3,21.5,20.5,-25.5,0,0.734387
2,1,1,1,7,3,2.5,-3.5,-13.5,0,0.349065
0,3,1,6,6,8,-16.5,19.5,-8.5,0,0.0804529
2,0,0,0,2,2,1.5,-20.5,-26.5,0,0.895185
3,2,1,3,4,8,16.5,5.5,-8.5,0,0.122994
3,3,0,2,2,1,15.5,15.5,-27.5,0,0.848868
2,3,0,3,2,6,4.5,15.5,-22.5,1.3072e-06,0.656119
1,0,1,3,4,7,-7.5,-18.5,-9.5,1.79832e-07,0.208586
3,1,1,9,6,7,22.5,-4.5,-9.5,0,0.169916
1,0,0,9,0,2,-1.5,-22.5,-26.5,0,0.89582
2,0,1,7,5,9,8.5,-17.5,-7.5,1.84338e-07,0.130604
2,3,1,7,5,1,8.5,18.5,-15.5,1.05109e-06,0.363498
1,3,1,5,4,8,-5.5,17.5,-8.5,1.07895e-06,0.0997733
1,0,1,5,1,4,-5.5,-21.5,-12.5,3.67689e-08,0.327576
0,2,0,3,1,2,-19.5,2.5,-26.5,4.4405e-07,0.839629
0,3,0,4,4,3,-18.5,17.5,-25.5,0,0.752952
2,3,1,5,1,6,6.5,14.5,-10.5,6.88686e-07,0.185363
3,2,0,1,5,1,14.5,6.5,-27.5,0,0.880296
3,2,0,5,8,1,18.5,9.5,-27.5,0,0.863614
3,0,0,6,0,9,19.5,-22.5,-19.5,0,0.586862
3,2,0,0,5,2,13.5,6.5,-26.5,0,0.840297
0,3,0,3,9,4,-19.5,22.5,-24.5,0,0.689814
0,1,0,4,3,9,-18.5,-7.5,-19.5,2.78535e-08,0.575751
2,3,1,4,1,2,5.5,14.5,-14.5,3.00196e-08,0.340644
2,2,1,6,2,1,7.5,3.5,-15.5,1.0946e-07,0.410175
3,0,1,6,9,0,19.5,-13.5,-16.5,0,0.461395
3,3,1,4,6,4,17.5,19.5,-12.5,9.06727e-07,0.231177
1,3,0,6,3,5,-4.5,16.5,-23.5,1.5211e-06,0.69311
2,1,1,3,3,3,4.5,-7.5,-13.5,0,0.354903
0,0,0,1,4,6,-21.5,-18.5,-22.5,0,0.702379
2,0,0,2,3,6,3.5,-19.5,-22.5,1.07986e-06,0.728338
3,1,1,2,3,5,15.5,-7.5,-11.5,2.00787e-07,0.265399
2,2,1,3,0,4,4.5,1.5,-12.5,0,0.299229
0,3,1,4,8,0,-18.5,21.5,-16.5,0,0.376808
3,1,1,1,7,9,14.5,-3.5,-7.5,0,0.107118
0,3,1,8,1,8,-14.5,14.5,-8.5,3.52558e-07,0.100563
0,1,0,1,0,9,-21.5,-10.5,-19.5,0,0.573328
0,3,1,1,7,4,-21.5,20.5,-12.5,0,0.21929
0,3,0,4,2,8,-18.5,15.5,-20.5,0,0.557661
0,3,0,0,0,5,-22.5,13.5,-23.5,0,0.676585
2,0,0,0,3,2,1.5,-19.5,-26.5,2.38478e-07,0.894724
1,0,0,8,3,8,-2.5,-19.5,-20.5,2.87807e-07,0.646969
0,1,0,5,4,5,-17.5,-6.5,-23.5,0,0.738744
0,0,0,5,4,2,-17.5,-18.5,-26.5,0,0.876525
0,0,1,6,6,4,-16.5,-16.5,-12.5,0,0.31225
3,2,1,7,3,8,20.5,4.5,-8.5,0,0.117885
0,3,1,6,6,1,-16.5,19.5,-15.5,1.74888e-07,0.349132
2,2,1,5,1,7,6.5,2.5,-9.5,0,0.180028
0,2,1,2,5,1,-20.5,6.5,-15.5,3.30723e-07,0.383029
3,0,0,9,8,1,22.5,-14.5,-27.5,0,0.903744
1,1,0,0,4,4,-10.5,-6.5,-24.5,9.27753e-07,0.791063
3,2,0,8,2,4,21.5,3.5,-24.5,0,0.749966
1,1,0,3,9,6,-7.5,-1.5,-22.5,4.23745e-07,0.702489
1,2,0,7,5,2,-3.5,6.5,-26.5,4.46296e-07,0.85001
0,1,0,9,4,6,-13.5,-6.5,-22.5,3.48014e-07,0.704771
1,0,0,2,3,6,-8.5,-19.5,-22.5,0,0.724918
1,3,1,0,3,1,-10.5,16.5,-15.5,2.31778e-07,0.368633
3,2,1,4,4,3,17.5,5.5,-13.5,0,0.313584
2,2,0,4,8,0,5.5,9.5,-28.5,0,0.923377
3,0,1,6,7,0,19.5,-15.5,-16.5,0,0.463195
1,1,1,8,1,8,-2.5,-9.5,-8.5,6.02984e-07,0.164671
3,3,1,6,5,6,19.5,18.5,-10.5,2.11826e-07,0.154424
1,1,0,6,2,4,-4.5,-8.5,-24.5,1.53812e-06,0.799377
0,1,0,2,3,9,-20.5,-7.5,-19.5,2.94729e-08,0.571454
1,1,1,7,4,4,-3.5,-6.5,-12.5,1.54691e-07,0.314695
2,1,0,3,0,1,4.5,-10.5,-27.5,0,0.927326
2,1,1,8,4,0,9.5,-6.5,-16.5,0,0.468035
1,2,1,1,9,1,-9.5,10.5,-15.5,5.50795e-07,0.389277
3,1,0,7,7,8,20.5,-3.5,-20.5,0,0.605024
0,0,1,1,1,5,-21.5,-21.5,-11.5,0,0.265873
1,0,1,7,5,1,-3.5,-17.5,-15.5,3.26904e-07,0.444778
0,3,1,3,1,3,-19.5,14.5,-13.5,0,0.283285
3,1,1,2,6,0,15.5,-4.5,-16.5,0,0.456601
2,3,0,7,5,0,8.5,18.5,-28.5,3.05535e-07,0.888551
1,2,1,0,9,7,-10.5,10.5,-9.5,4.01565e-07,0.155884
1,3,0,1,3,2,-9.5,16.5,-26.5,0,0.812245
1,3,1,0,3,8,-10.5,16.5,-8.5,9.42803e-08,0.0990986
0,0,1,8,0,3,-14.5,-22.5,-13.5,0,0.357404
2,1,0,7,7,1,8.5,-3.5,-27.5,0,0.912671
3,2,1,4,1,0,17.5,2.5,-16.5,0,0.438663
2,1,0,3,3,4,4.5,-7.5,-24.5,0,0.79786
1,1,0,3,5,7,-7.5,-5.5,-21.5,1.14392e-06,0.669345
1,1,1,0,5,4,-10.5,-5.5,-12.5,5.72178e-07,0.307924
2,1,1,5,0,1,6.5,-10.5,-15.5,2.11519e-07,0.436603
1,3,0,0,9,5,-10.5,22.5,-23.5,0,0.664298
0,0,0,1,0,0,-21.5,-22.5,-28.5,0,0.952955
1,1,1,6,9,5,-4.5,-1.5,-11.5,7.52218e-08,0.266634
2,2,1,7,3,0,8.5,4.5,-16.5,0,0.446354
3,3,0,1,7,0,14.5,20.5,-28.5,0,0.872422
3,1,1,5,6,8,18.5,-4.5,-8.5,0,0.140139
1,1,1,0,3,3,-10.5,-7.5,-13.5,6.53072e-07,0.350091
0,2,0,9,4,7,-13.5,5.5,-21.5,1.46141e-06,0.637959
3,3,0,3,1,9,16.5,14.5,-19.5,0,0.525054
3,2,0,7,7,6,20.5,8.5,-22.5,0,0.656854
3,2,1,5,0,3,18.5,1.5,-13.5,0,0.321245
3,1,0,4,7,6,17.5,-3.5,-22.5,0,0.692543
2,3,0,6,8,2,7.5,21.5,-26.5,0,0.794233
0,3,0,9,5,5,-13.5,18.5,-23.5,0,0.676461
0,2,1,2,8,1,-20.5,9.5,-15.5,2.183e-07,0.374645
3,1,0,7,4,8,20.5,-6.5,-20.5,0,0.610295
3,3,0,9,3,5,22.5,16.5,-23.5,0,0.666016
1,0,1,4,1,2,-6.5,-21.5,-14.5,5.20653e-08,0.405478
3,1,1,0,5,0,13.5,-5.5,-16.5,0,0.461442
3,2,0,3,9,3,16.5,10.5,-25.5,0,0.781639
3,0,1,0,2,4,13.5,-20.5,-12.5,0,0.319257
1,0,0,9,7,3,-1.5,-15.5,-25.5,6.90893e-07,0.850208
0,3,0,5,9,6,-17.5,22.5,-22.5,8.99509e-08,0.612987
1,3,1,7,7,2,-3.5,20.5,-14.5,1.56114e-07,0.320129
0,3,0,9,3,0,-13.5,16.5,-28.5,4.13983e-08,0.889978
3,2,1,4,7,1,17.5,8.5,-15.5,0,0.383678
0,1,0,6,0,7,-16.5,-10.5,-21.5,0,0.664799
3,0,1,0,4,7,13.5,-18.5,-9.5,2.35428e-07,0.20211
0,0,0,7,2,1,-15.5,-20.5,-27.5,0,0.923238
3,0,0,0,5,4,13.5,-17.5,-24.5,0,0.799971
0,2,0,6,2,4,-16.5,3.5,-24.5,9.96003e-07,0.760628
3,2,1,0,9,2,13.5,10.5,-14.5,1.06589e-08,0.345259
2,3,1,3,5,5,4.5,18.5,-11.5,1.17287e-06,0.211181
3,0,1,4,0,8,17.5,-22.5,-8.5,0,0.158837
1,2,1,5,0,3,-5.5,1.5,-13.5,1.72084e-07,0.337671
0,3,1,5,4,1,-17.5,17.5,-15.5,0,0.35467
3,3,0,6,5,1,19.5,18.5,-27.5,0,0.829345
0,1,0,5,9,9,-17.5,-1.5,-19.5,6.95692e-07,0.566993
0,1,0,3,5,7,-19.5,-5.5,-21.5,0,0.651244
3,3,0,8,1,1,21.5,14.5,-27.5,0,0.839804
2,3,0,8,8,0,9.5,21.5,-28.5,0,0.875096
2,2,1,2,8,6,3.5,9.5,-10.5,3.58055e-07,0.202109
3,3,0,9,8,7,22.5,21.5,-21.5,0,0.56601
3,1,0,4,7,4,17.5,-3.5,-24.5,0,0.774566
2,0,1,4,6,3,5.5,-16.5,-13.5,1.43541e-06,0.36425
0,0,0,3,2,2,-19.5,-20.5,-26.5,0,0.873247
0,0,0,4,8,6,-18.5,-14.5,-22.5,0,0.706111
0,1,1,9,3,9,-13.5,-7.5,-7.5,8.38294e-07,0.114793
0,3,1,8,6,3,-14.5,19.5,-13.5,0,0.274688
1,0,1,3,4,1,-7.5,-18.5,-15.5,1.18107e-08,0.442995
1,0,0,1,8,7,-9.5,-14.5,-21.5,2.97371e-07,0.67943
3,3,0,7,9,1,20.5,22.5,-27.5,0,0.810485
1,1,0,7,6,2,-3.5,-4.5,-26.5,3.93842e-07,0.876212
3,0,0,7,7,9,20.5,-15.5,-19.5,0,0.580992
0,1,0,7,5,0,-15.5,-5.5,-28.5,0,0.948626
2,3,0,2,6,2,3.5,19.5,-26.5,2.09741e-07,0.804992
3,1,0,3,9,1,16.5,-1.5,-27.5,0,0.896952
3,2,0,8,8,3,21.5,9.5,-25.5,0,0.774027
3,0,0,4,3,0,17.5,-19.5,-28.5,0,0.9611
0,2,0,7,5,0,-15.5,6.5,-28.5,1.46167e-07,0.920289
1,2,1,1,1,4,-9.5,2.5,-12.5,6.55335e-07,0.293264
1,3,1,5,6,4,-5.5,19.5,-12.5,1.15238e-07,0.245479
0,0,1,9,2,8,-13.5,-20.5,-8.5,0,0.164567
0,3,1,2,9,0,-20.5,22.5,-16.5,0,0.368677
0,0,0,3,4,8,-19.5,-18.5,-20.5,0,0.625588
1,3,0,5,1,2,-5.5,14.5,-26.5,1.36367e-06,0.823053
1,1,1,4,4,7,-6.5,-6.5,-9.5,1.16476e-06,0.196982
3,0,1,1,9,6,14.5,-13.5,-10.5,4.65261e-08,0.235489
0,2,1,9,3,1,-13.5,4.5,-15.5,1.20776e-06,0.400922
2,3,1,0,0,1,1.5,13.5,-15.5,9.44404e-07,0.384569
1,1,0,2,6,6,-8.5,-4.5,-22.5,7.74599e-07,0.707482
1,3,0,3,6,8,-7.5,19.5,-20.5,0,0.55851
1,1,1,8,1,4,-2.5,-9.5,-12.5,2.64149e-07,0.319289
3,1,0,0,6,9,13.5,-4.5,-19.5,0,0.579657
0,3,0,3,3,5,-19.5,16.5,-23.5,0,0.672957
1,1,1,7,3,9,-3.5,-7.5,-7.5,9.3622e-07,0.123493
2,3,0,9,0,7,10.5,13.5,-21.5,4.45126e-07,0.617646
2,1,0,2,6,8,3.5,-4.5,-20.5,0,0.629426
0,1,1,0,3,9,-22.5,-7.5,-7.5,0,0.0982633
2,3,0,0,1,2,1.5,14.5,-26.5,1.4677e-06,0.824668
1,0,1,3,2,2,-7.5,-20.5,-14.5,0,0.404385
1,2,1,8,5,8,-2.5,6.5,-8.5,2.09411e-07,0.13402
0,0,0,1,0,1,-21.5,-22.5,-27.5,0,0.910943
1,3,0,4,9,7,-6.5,22.5,-21.5,5.3429e-08,0.587326
1,2,1,4,4,3,-6.5,5.5,-13.5,1.79575e-06,0.327452
2,1,1,5,8,0,6.5,-2.5,-16.5,9.3612e-08,0.463577
0,2,0,5,1,7,-17.5,2.5,-21.5,1.22776e-06,0.638749
3,1,0,9,0,9,22.5,-10.5,-19.5,0,0.571023
2,0,1,9,5,0,10.5,-17.5,-16.5,8.1951e-07,0.479251
1,1,0,6,1,0,-4.5,-9.5,-28.5,4.07456e-07,0.968024
1,1,1,7,1,1,-3.5,-9.5,-15.5,5.81497e-07,0.436909
2,2,0,6,9,6,7.5,10.5,-22.5,7.23087e-08,0.670991
2,1,0,1,1,2,2.5,-9.5,-26.5,2.06957e-08,0.88484
0,3,0,6,2,3,-16.5,15.5,-25.5,1.39071e-07,0.764399
2,2,1,6,8,6,7.5,9.5,-10.5,0,0.199843
0,3,0,4,4,9,-18.5,17.5,-19.5,0,0.510505
0,1,0,2,3,7,-20.5,-7.5,-21.5,0,0.652284
0,0,0,8,7,2,-14.5,-15.5,-26.5,0,0.879885
2,2,0,2,0,5,3.5,1.5,-23.5,0,0.739238
3,0,0,6,7,5,19.5,-15.5,-23.5,0,0.745964
0,2,1,5,3,1,-17.5,4.5,-15.5,8.03571e-07,0.39429
2,1,0,0,0,8,1.5,-10.5,-20.5,7.17036e-08,0.639246
2,2,0,4,3,0,5.5,4.5,-28.5,0,0.938198
1,3,0,9,8,4,-1.5,21.5,-24.5,1.17384e-07,0.715238
1,0,1,0,1,8,-10.5,-21.5,-8.5,0,0.168611
