Cell IdX,Cell IdY,Cell IdZ,Voxel IdX,Voxel IdY,Voxel IdZ,X [mm],Y [mm],Z [mm],Dose [Gy],FieldScalingFactor
3,3,0,4,2,9,17.5,15.5,10.5,0.00485815,0.488794
2,3,0,9,3,6,10.5,16.5,7.5,0.00405487,0.600629
0,0,1,3,1,4,-19.5,-21.5,17.5,0.000356627,0.364519
2,0,1,3,0,1,4.5,-22.5,14.5,0.000211044,0.488738
3,0,1,9,8,8,22.5,-14.5,21.5,5.15583e-05,0.20296
3,3,0,8,0,5,21.5,13.5,6.5,0.00388285,0.640455
3,2,1,6,1,2,19.5,2.5,15.5,0.00503016,0.366483
2,0,1,2,9,2,3.5,-13.5,15.5,0.00487109,0.433098
1,3,0,9,9,8,-1.5,22.5,9.5,0.000341203,0.496534
3,2,1,4,2,9,17.5,3.5,22.5,0.0048127,0.117833
1,3,1,9,8,7,-1.5,21.5,20.5,0.00093284,0.112036
2,1,0,6,3,6,7.5,-7.5,7.5,0.00519904,0.709342
3,2,1,5,1,6,18.5,2.5,19.5,0.00512572,0.225544
0,3,0,5,1,1,-17.5,14.5,2.5,0.00300073,0.790707
3,2,0,6,0,2,19.5,1.5,3.5,0.00334572,0.813777
2,3,0,4,9,9,5.5,22.5,10.5,0.000200522,0.459224
0,2,0,1,6,5,-21.5,7.5,6.5,0.000118899,0.670524
1,0,0,0,5,2,-10.5,-17.5,3.5,0.00328935,0.887533
2,3,1,9,2,3,10.5,15.5,16.5,0.00447913,0.28062
0,2,0,1,6,2,-21.5,7.5,3.5,0.000107004,0.783104
2,0,1,0,3,5,1.5,-19.5,18.5,0.00358128,0.338807
3,2,1,3,1,3,16.5,2.5,16.5,0.00522533,0.334611
1,2,1,1,7,0,-9.5,8.5,13.5,0.00479737,0.423104
2,1,1,4,3,5,5.5,-7.5,18.5,0.00538832,0.307436
2,1,0,2,3,0,3.5,-7.5,1.5,0.00170673,0.939703
3,1,1,0,5,8,13.5,-5.5,21.5,0.00498901,0.189417
3,2,1,0,2,6,13.5,3.5,19.5,0.00504943,0.227294
1,3,1,1,6,6,-9.5,19.5,19.5,0.00418231,0.154648
2,1,1,0,2,9,1.5,-8.5,22.5,0.00461569,0.169855
2,1,1,8,7,2,9.5,-3.5,15.5,0.00527312,0.39981
3,0,0,0,3,5,13.5,-19.5,6.5,7.71036e-05,0.774736
2,2,1,6,9,8,7.5,10.5,21.5,0.00505729,0.131447
3,3,1,4,4,6,17.5,17.5,19.5,0.00351363,0.157738
2,0,0,7,6,3,8.5,-16.5,4.5,0.000391872,0.848377
0,3,0,0,9,8,-22.5,22.5,9.5,4.20718e-05,0.477551
3,3,1,6,0,6,19.5,13.5,19.5,0.00470508,0.175452
3,3,0,9,7,3,22.5,20.5,4.5,5.03689e-05,0.673252
2,0,0,8,4,8,9.5,-18.5,9.5,0.000194016,0.663198
2,2,1,3,7,2,4.5,8.5,15.5,0.00539116,0.353772
2,3,1,3,2,7,4.5,15.5,20.5,0.00500681,0.14335
0,3,0,2,8,5,-20.5,21.5,6.5,5.93874e-05,0.596438
2,3,1,4,3,2,5.5,16.5,15.5,0.00496998,0.313775
3,3,0,1,8,0,14.5,21.5,1.5,8.67708e-05,0.790984
3,1,0,0,4,5,13.5,-6.5,6.5,0.0042465,0.738708
1,0,0,1,4,8,-9.5,-18.5,9.5,0.00499045,0.663113
3,3,0,3,4,8,16.5,17.5,9.5,0.0031875,0.51553
0,1,0,8,2,0,-14.5,-8.5,1.5,0.00160618,0.934966
2,0,0,2,4,1,3.5,-18.5,2.5,0.000244683,0.932445
1,2,0,0,5,7,-10.5,6.5,8.5,0.00447,0.614522
3,0,1,9,9,9,22.5,-13.5,22.5,7.99668e-05,0.165393
1,3,1,1,6,9,-9.5,19.5,22.5,0.00395713,0.0508705
2,2,1,1,7,6,2.5,8.5,19.5,0.00515459,0.212275
1,3,0,0,9,1,-10.5,22.5,2.5,8.9356e-05,0.750947
1,1,0,8,0,4,-2.5,-10.5,5.5,0.00407294,0.796328
0,0,1,8,6,4,-14.5,-16.5,17.5,0.00497362,0.360649
1,1,0,0,5,5,-10.5,-5.5,6.5,0.0024837,0.737984
2,3,0,0,7,9,1.5,20.5,10.5,0.00169998,0.472123
1,3,1,7,8,2,-3.5,21.5,15.5,0.000769915,0.286753
2,3,0,6,4,9,7.5,17.5,10.5,0.00320444,0.487223
1,2,0,8,7,1,-2.5,8.5,2.5,0.00303942,0.83426
1,0,1,8,8,9,-2.5,-14.5,22.5,0.00484549,0.185582
0,1,0,6,4,5,-16.5,-6.5,6.5,0.000584769,0.735059
3,1,1,0,5,5,13.5,-5.5,18.5,0.00498918,0.295587
0,2,1,7,3,0,-15.5,4.5,13.5,0.00105344,0.435357
1,3,1,6,0,1,-4.5,13.5,14.5,0.00494767,0.365404
2,2,0,9,2,5,10.5,3.5,6.5,0.00438812,0.702569
3,0,0,4,9,1,17.5,-13.5,2.5,9.62451e-05,0.907905
2,1,0,5,4,1,6.5,-6.5,2.5,0.00305346,0.896499
0,0,1,4,6,2,-18.5,-16.5,15.5,0.000815539,0.427993
3,1,1,8,9,1,21.5,-1.5,14.5,0.00383122,0.414963
1,2,0,4,9,2,-6.5,10.5,3.5,0.00328496,0.784772
0,1,0,2,8,6,-20.5,-2.5,7.5,7.92713e-05,0.677404
2,3,0,0,0,7,1.5,13.5,8.5,0.00424624,0.584132
0,3,0,8,4,0,-14.5,17.5,1.5,0.000923471,0.815196
0,2,1,0,3,6,-22.5,4.5,19.5,5.57927e-05,0.21146
0,3,1,5,9,3,-17.5,22.5,16.5,0.000114213,0.235038
3,0,0,9,1,7,22.5,-21.5,8.5,1.39099e-05,0.69066
2,1,0,5,2,9,6.5,-8.5,10.5,0.00505552,0.601147
0,2,1,5,8,0,-17.5,9.5,13.5,0.00161785,0.410362
2,2,0,7,6,9,8.5,7.5,10.5,0.00525803,0.537697
1,1,0,0,4,0,-10.5,-6.5,1.5,0.000707483,0.932204
0,0,0,3,6,5,-19.5,-16.5,6.5,0.000273113,0.759938
0,3,1,3,0,5,-19.5,13.5,18.5,0.00444528,0.210384
0,2,0,0,9,3,-22.5,10.5,4.5,0.0024077,0.728824
1,3,0,0,9,8,-10.5,22.5,9.5,0.000200712,0.492451
2,0,1,8,7,8,9.5,-15.5,21.5,0.0016928,0.220212
3,1,1,5,5,5,18.5,-5.5,18.5,0.00183852,0.289776
3,3,0,1,2,4,14.5,15.5,5.5,0.00437512,0.67648
1,1,1,6,8,0,-4.5,-2.5,13.5,0.00501938,0.471344
0,1,0,6,8,3,-16.5,-2.5,4.5,0.00012615,0.79617
0,2,1,8,4,4,-14.5,5.5,17.5,0.00334676,0.288698
3,2,0,7,8,2,20.5,9.5,3.5,0.00374698,0.775023
1,3,0,7,0,2,-3.5,13.5,3.5,0.00332835,0.7701
0,3,1,4,5,3,-18.5,18.5,16.5,0.000994965,0.256204
0,1,0,4,2,8,-18.5,-8.5,9.5,0.00432127,0.626627
3,3,0,9,2,2,22.5,15.5,3.5,0.000603046,0.73972
2,0,1,4,0,6,5.5,-22.5,19.5,0.000119051,0.307479
3,2,0,8,8,9,21.5,9.5,10.5,0.00463993,0.513512
2,3,1,1,3,7,2.5,16.5,20.5,0.00511763,0.138732
0,3,1,6,2,7,-16.5,15.5,20.5,0.00497183,0.134373
0,3,0,9,3,4,-13.5,16.5,5.5,0.00383052,0.671895
2,1,1,7,7,9,8.5,-3.5,22.5,0.00480681,0.151712
3,0,1,9,8,1,22.5,-14.5,14.5,6.30674e-05,0.45358
1,0,1,7,2,2,-3.5,-20.5,15.5,0.00215087,0.448827
2,2,0,2,8,3,3.5,9.5,4.5,0.00417882,0.753333
2,3,0,7,7,5,8.5,20.5,6.5,0.000169329,0.615869
2,1,0,9,7,0,10.5,-3.5,1.5,0.00162576,0.92128
2,2,0,5,0,6,6.5,1.5,7.5,0.00457916,0.676328
1,1,1,0,0,6,-10.5,-10.5,19.5,0.00448645,0.27761
3,1,0,8,3,9,21.5,-7.5,10.5,0.000182311,0.58193
0,0,0,5,0,0,-17.5,-22.5,1.5,6.51108e-05,0.967484
1,1,1,0,6,8,-10.5,-4.5,21.5,0.00394591,0.188669
0,2,1,3,5,4,-19.5,6.5,17.5,0.000202203,0.278199
0,3,1,5,2,0,-17.5,15.5,13.5,0.00437825,0.380333
1,3,1,0,1,9,-10.5,14.5,22.5,0.00453245,0.0758084
1,3,1,5,6,0,-5.5,19.5,13.5,0.00393819,0.368701
0,3,1,0,3,0,-22.5,16.5,13.5,0.00287697,0.367628
3,0,0,3,6,9,16.5,-16.5,10.5,9.66512e-05,0.614362
2,1,0,7,8,8,8.5,-2.5,9.5,0.00506701,0.61649
1,1,0,2,0,2,-8.5,-10.5,3.5,0.00326406,0.869993
2,2,1,0,3,4,1.5,4.5,17.5,0.0051384,0.300543
2,3,1,7,6,6,8.5,19.5,19.5,0.000605624,0.155329
3,0,0,0,3,6,13.5,-19.5,7.5,0.00010587,0.736909
1,2,1,6,2,6,-4.5,3.5,19.5,0.00536456,0.233071
3,3,1,6,0,3,19.5,13.5,16.5,0.004778,0.281033
2,0,1,7,1,1,8.5,-21.5,14.5,0.000136436,0.485001
0,0,1,1,1,4,-21.5,-21.5,17.5,0.000145172,0.361482
0,2,1,8,8,5,-14.5,9.5,18.5,0.00471732,0.235576
1,3,0,2,4,3,-8.5,17.5,4.5,0.00430771,0.707771
3,3,0,8,7,3,21.5,20.5,4.5,6.58902e-05,0.674955
2,1,1,1,7,3,2.5,-3.5,16.5,0.00537419,0.366858
0,3,1,6,6,8,-16.5,19.5,21.5,0.000575892,0.07891
2,0,0,0,2,2,1.5,-20.5,3.5,0.000645568,0.898614
3,2,1,3,4,8,16.5,5.5,21.5,0.00522846,0.145733
3,3,0,2,2,1,15.5,15.5,2.5,0.00299541,0.787807
2,3,0,3,2,6,4.5,15.5,7.5,0.0049082,0.609594
1,0,1,3,4,7,-7.5,-18.5,20.5,0.00496585,0.26334
3,1,1,9,6,7,22.5,-4.5,20.5,0.000343263,0.20977
1,0,0,9,0,2,-1.5,-22.5,3.5,0.000130983,0.902545
2,0,1,7,5,9,8.5,-17.5,22.5,0.00055776,0.189999
2,3,1,7,5,1,8.5,18.5,14.5,0.00121833,0.337039
1,3,1,5,4,8,-5.5,17.5,21.5,0.00522841,0.0980005
1,0,1,5,1,4,-5.5,-21.5,17.5,0.000829267,0.377523
0,2,0,3,1,2,-19.5,2.5,3.5,8.82871e-05,0.809335
0,3,0,4,4,3,-18.5,17.5,4.5,0.00243186,0.697228
2,3,1,5,1,6,6.5,14.5,19.5,0.0052489,0.182514
3,2,0,1,5,1,14.5,6.5,2.5,0.00309112,0.835951
3,2,0,5,8,1,18.5,9.5,2.5,0.00302504,0.815939
3,0,0,6,0,9,19.5,-22.5,10.5,2.457e-05,0.622671
3,2,0,0,5,2,13.5,6.5,3.5,0.00347346,0.799087
0,3,0,3,9,4,-19.5,22.5,5.5,4.87297e-05,0.628725
0,1,0,4,3,9,-18.5,-7.5,10.5,0.00231535,0.586369
2,3,1,4,1,2,5.5,14.5,15.5,0.00517922,0.324219
2,2,1,6,2,1,7.5,3.5,14.5,0.00533338,0.410336
3,0,1,6,9,0,19.5,-13.5,13.5,0.000216178,0.492231
3,3,1,4,6,4,17.5,19.5,17.5,0.000508561,0.216925
1,3,0,6,3,5,-4.5,16.5,6.5,0.00491828,0.641033
2,1,1,3,3,3,4.5,-7.5,16.5,0.0052685,0.379543
0,0,0,1,4,6,-21.5,-18.5,7.5,0.000117703,0.723595
2,0,0,2,3,6,3.5,-19.5,7.5,0.000507825,0.743549
3,1,1,2,3,5,15.5,-7.5,18.5,0.00347224,0.299807
2,2,1,3,0,4,4.5,1.5,17.5,0.00501282,0.31204
0,3,1,4,8,0,-18.5,21.5,13.5,0.000302275,0.34575
3,1,1,1,7,9,14.5,-3.5,22.5,0.00477045,0.146829
0,3,1,8,1,8,-14.5,14.5,21.5,0.00497782,0.106863
0,1,0,1,0,9,-21.5,-10.5,10.5,0.00123815,0.590999
0,3,1,1,7,4,-21.5,20.5,17.5,0.000216564,0.205704
0,3,0,4,2,8,-18.5,15.5,9.5,0.00497386,0.523793
0,3,0,0,0,5,-22.5,13.5,6.5,0.00326547,0.638634
2,0,0,0,3,2,1.5,-19.5,3.5,0.00269069,0.89649
1,0,0,8,3,8,-2.5,-19.5,9.5,0.00423897,0.668549
0,1,0,5,4,5,-17.5,-6.5,6.5,0.000566382,0.733721
0,0,0,5,4,2,-17.5,-18.5,3.5,0.00343068,0.881931
0,0,1,6,6,4,-16.5,-16.5,17.5,0.00415807,0.358354
3,2,1,7,3,8,20.5,4.5,21.5,0.00508832,0.14461
0,3,1,6,6,1,-16.5,19.5,14.5,0.00068286,0.324101
2,2,1,5,1,7,6.5,2.5,20.5,0.00530733,0.201066
0,2,1,2,5,1,-20.5,6.5,14.5,0.000239189,0.383867
3,0,0,9,8,1,22.5,-14.5,2.5,6.11009e-05,0.902588
1,1,0,0,4,4,-10.5,-6.5,5.5,0.00219522,0.779237
3,2,0,8,2,4,21.5,3.5,5.5,0.00454154,0.726362
1,1,0,3,9,6,-7.5,-1.5,7.5,0.00447864,0.687786
1,2,0,7,5,2,-3.5,6.5,3.5,0.00393018,0.805768
0,1,0,9,4,6,-13.5,-6.5,7.5,0.000941018,0.701001
1,0,0,2,3,6,-8.5,-19.5,7.5,0.00421443,0.741135
1,3,1,0,3,1,-10.5,16.5,14.5,0.00440434,0.346458
3,2,1,4,4,3,17.5,5.5,16.5,0.00539242,0.320902
2,2,0,4,8,0,5.5,9.5,1.5,0.00168608,0.866399
3,0,1,6,7,0,19.5,-15.5,13.5,0.000113554,0.497249
1,1,1,8,1,8,-2.5,-9.5,21.5,0.00514306,0.207746
3,3,1,6,5,6,19.5,18.5,19.5,0.000867352,0.149814
1,1,0,6,2,4,-4.5,-8.5,5.5,0.00466594,0.789489
0,1,0,2,3,9,-20.5,-7.5,10.5,0.00219858,0.583375
1,1,1,7,4,4,-3.5,-6.5,17.5,0.00522528,0.340711
2,1,0,3,0,1,4.5,-10.5,2.5,0.00280382,0.910571
2,1,1,8,4,0,9.5,-6.5,13.5,0.00495854,0.482574
1,2,1,1,9,1,-9.5,10.5,14.5,0.00460818,0.377625
3,1,0,7,7,8,20.5,-3.5,9.5,0.00135476,0.606837
0,0,1,1,1,5,-21.5,-21.5,18.5,0.000123154,0.325582
1,0,1,7,5,1,-3.5,-17.5,14.5,0.00501995,0.47909
0,3,1,3,1,3,-19.5,14.5,16.5,0.00482883,0.275886
3,1,1,2,6,0,15.5,-4.5,13.5,0.00467015,0.470245
2,3,0,7,5,0,8.5,18.5,1.5,0.000173176,0.814801
1,2,1,0,9,7,-10.5,10.5,20.5,0.00460932,0.16435
1,3,0,1,3,2,-9.5,16.5,3.5,0.00375199,0.750291
1,3,1,0,3,8,-10.5,16.5,21.5,0.00442077,0.100335
0,0,1,8,0,3,-14.5,-22.5,16.5,0.000400264,0.408717
2,1,0,7,7,1,8.5,-3.5,2.5,0.00312033,0.884356
3,2,1,4,1,0,17.5,2.5,13.5,0.00491021,0.441375
2,1,0,3,3,4,4.5,-7.5,5.5,0.00460062,0.786239
1,1,0,3,5,7,-7.5,-5.5,8.5,0.00524942,0.665069
1,1,1,0,5,4,-10.5,-5.5,17.5,0.00315373,0.333857
2,1,1,5,0,1,6.5,-10.5,14.5,0.00469479,0.460178
1,3,0,0,9,5,-10.5,22.5,6.5,0.00015202,0.602215
0,0,0,1,0,0,-21.5,-22.5,1.5,5.35108e-05,0.961098
1,1,1,6,9,5,-4.5,-1.5,18.5,0.00512654,0.287675
2,2,1,7,3,0,8.5,4.5,13.5,0.00506603,0.441701
3,3,0,1,7,0,14.5,20.5,1.5,0.00011422,0.7972
3,1,1,5,6,8,18.5,-4.5,21.5,0.00412008,0.180475
1,1,1,0,3,3,-10.5,-7.5,16.5,0.00369833,0.376161
0,2,0,9,4,7,-13.5,5.5,8.5,0.00377246,0.616304
3,3,0,3,1,9,16.5,14.5,10.5,0.00492747,0.495401
3,2,0,7,7,6,20.5,8.5,7.5,0.00497127,0.630326
3,2,1,5,0,3,18.5,1.5,16.5,0.00486064,0.336026
3,1,0,4,7,6,17.5,-3.5,7.5,0.00482293,0.685696
2,3,0,6,8,2,7.5,21.5,3.5,0.000115407,0.721894
0,3,0,9,5,5,-13.5,18.5,6.5,0.000810161,0.623366
0,2,1,2,8,1,-20.5,9.5,14.5,0.000998358,0.370172
3,1,0,7,4,8,20.5,-6.5,9.5,0.00028891,0.617286
3,3,0,9,3,5,22.5,16.5,6.5,0.00027163,0.622393
1,0,1,4,1,2,-6.5,-21.5,15.5,0.000865519,0.449567
3,1,1,0,5,0,13.5,-5.5,13.5,0.00455256,0.475819
3,2,0,3,9,3,16.5,10.5,4.5,0.00384754,0.738108
3,0,1,0,2,4,13.5,-20.5,17.5,0.000161198,0.37013
1,0,0,9,7,3,-1.5,-15.5,4.5,0.00362394,0.848623
0,3,0,5,9,6,-17.5,22.5,7.5,4.32908e-05,0.557987
1,3,1,7,7,2,-3.5,20.5,15.5,0.00216606,0.29246
0,3,0,9,3,0,-13.5,16.5,1.5,0.00157865,0.822142
3,2,1,4,7,1,17.5,8.5,14.5,0.0052353,0.379147
0,1,0,6,0,7,-16.5,-10.5,8.5,0.0023586,0.672752
3,0,1,0,4,7,13.5,-18.5,20.5,0.000194768,0.258856
0,0,0,7,2,1,-15.5,-20.5,2.5,0.000551962,0.927478
3,0,0,0,5,4,13.5,-17.5,5.5,0.000121059,0.808253
0,2,0,6,2,4,-16.5,3.5,5.5,0.00016577,0.733677
3,2,1,0,9,2,13.5,10.5,15.5,0.00468029,0.338484
2,3,1,3,5,5,4.5,18.5,18.5,0.0033112,0.197519
3,0,1,4,0,8,17.5,-22.5,21.5,2.62508e-05,0.22637
1,2,1,5,0,3,-5.5,1.5,16.5,0.00517253,0.347401
0,3,1,5,4,1,-17.5,17.5,14.5,0.00334072,0.333875
3,3,0,6,5,1,19.5,18.5,2.5,0.000150616,0.76492
0,1,0,5,9,9,-17.5,-1.5,10.5,0.000259949,0.566694
0,1,0,3,5,7,-19.5,-5.5,8.5,0.000295989,0.652471
3,3,0,8,1,1,21.5,14.5,2.5,0.00265391,0.784654
2,3,0,8,8,0,9.5,21.5,1.5,0.00011017,0.795715
2,2,1,2,8,6,3.5,9.5,19.5,0.00517941,0.207534
3,3,0,9,8,7,22.5,21.5,8.5,2.73785e-05,0.520014
3,1,0,4,7,4,17.5,-3.5,5.5,0.00440533,0.760884
2,0,1,4,6,3,5.5,-16.5,16.5,0.00455588,0.403478
0,0,0,3,2,2,-19.5,-20.5,3.5,0.00027816,0.883277
0,0,0,4,8,6,-18.5,-14.5,7.5,0.000333246,0.718686
0,1,1,9,3,9,-13.5,-7.5,22.5,0.00243934,0.160429
0,3,1,8,6,3,-14.5,19.5,16.5,0.000684723,0.255495
1,0,1,3,4,1,-7.5,-18.5,14.5,0.00469327,0.479587
1,0,0,1,8,7,-9.5,-14.5,8.5,0.00496428,0.691004
3,3,0,7,9,1,20.5,22.5,2.5,5.84143e-05,0.738864
1,1,0,7,6,2,-3.5,-4.5,3.5,0.00387787,0.85216
3,0,0,7,7,9,20.5,-15.5,10.5,6.49597e-05,0.606272
0,1,0,7,5,0,-15.5,-5.5,1.5,0.000142876,0.923354
2,3,0,2,6,2,3.5,19.5,3.5,0.00309445,0.735802
3,1,0,3,9,1,16.5,-1.5,2.5,0.00277281,0.868571
3,2,0,8,8,3,21.5,9.5,4.5,0.00410506,0.735729
3,0,0,4,3,0,17.5,-19.5,1.5,7.85608e-05,0.961522
0,2,0,7,5,0,-15.5,6.5,1.5,0.000188438,0.872797
1,2,1,1,1,4,-9.5,2.5,17.5,0.00493396,0.305483
1,3,1,5,6,4,-5.5,19.5,17.5,0.00449809,0.226785
0,0,1,9,2,8,-13.5,-20.5,21.5,0.00232502,0.22719
0,3,1,2,9,0,-20.5,22.5,13.5,0.000156919,0.337035
0,0,0,3,4,8,-19.5,-18.5,9.5,0.0013634,0.651821
1,3,0,5,1,2,-5.5,14.5,3.5,0.00384313,0.763905
1,1,1,4,4,7,-6.5,-6.5,20.5,0.00527157,0.23279
3,0,1,1,9,6,14.5,-13.5,19.5,0.000682602,0.282014
0,2,1,9,3,1,-13.5,4.5,14.5,0.00270869,0.401383
2,3,1,0,0,1,1.5,13.5,14.5,0.00458406,0.366083
1,1,0,2,6,6,-8.5,-4.5,7.5,0.00501137,0.698342
1,3,0,3,6,8,-7.5,19.5,9.5,0.00436737,0.512247
1,1,1,8,1,4,-2.5,-9.5,17.5,0.00518555,0.350086
3,1,0,0,6,9,13.5,-4.5,10.5,0.00464241,0.582505
0,3,0,3,3,5,-19.5,16.5,6.5,0.00436153,0.627128
1,1,1,7,3,9,-3.5,-7.5,22.5,0.00481827,0.166522
2,3,0,9,0,7,10.5,13.5,8.5,0.00415534,0.580032
2,1,0,2,6,8,3.5,-4.5,9.5,0.00530284,0.626052
0,1,1,0,3,9,-22.5,-7.5,22.5,0.00136431,0.148869
2,3,0,0,1,2,1.5,14.5,3.5,0.00324152,0.765027
1,0,1,3,2,2,-7.5,-20.5,15.5,0.00208537,0.447162
1,2,1,8,5,8,-2.5,6.5,21.5,0.00521299,0.15091
0,0,0,1,0,1,-21.5,-22.5,2.5,4.78561e-05,0.922404
1,3,0,4,9,7,-6.5,22.5,8.5,0.000237219,0.531453
1,2,1,4,4,3,-6.5,5.5,16.5,0.00534349,0.33049
2,1,1,5,8,0,6.5,-2.5,13.5,0.00507816,0.470557
0,2,0,5,1,7,-17.5,2.5,8.5,0.000141992,0.624619
3,1,0,9,0,9,22.5,-10.5,10.5,8.15226e-05,0.589488
2,0,1,9,5,0,10.5,-17.5,13.5,0.000475268,0.512064
1,1,0,6,1,0,-4.5,-9.5,1.5,0.00164235,0.945984
1,1,1,7,1,1,-3.5,-9.5,14.5,0.00517224,0.458344
2,2,0,6,9,6,7.5,10.5,7.5,0.0044841,0.634477
2,1,0,1,1,2,2.5,-9.5,3.5,0.0037726,0.86956
0,3,0,6,2,3,-16.5,15.5,4.5,0.00422239,0.711305
2,2,1,6,8,6,7.5,9.5,19.5,0.00522687,0.205968
0,3,0,4,4,9,-18.5,17.5,10.5,0.00303925,0.476419
0,1,0,2,3,7,-20.5,-7.5,8.5,0.00226922,0.657636
0,0,0,8,7,2,-14.5,-15.5,3.5,0.0035935,0.878546
2,2,0,2,0,5,3.5,1.5,6.5,0.00446509,0.714937
3,0,0,6,7,5,19.5,-15.5,6.5,5.35642e-05,0.757636
